Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
Vaartscherijn;1;7;8;292,3384717;38,9317343;159,3809524;83,66666667;0,20550132;0,027369733;;146,0625;108,4375;478;147;161;147,5
Galgenwaard;1;7;8;18,95352498;41,01459317;10,33333333;88,14285714;0,01332351;0,028834021;;22,4375;80,5;90;152,5;13;114
Kromme Rijn;1;7;8;3,668424227;10,17055558;2;21,85714286;0,002578744;0,00715009;;2,9375;64,9375;12,5;116;2;146,5
Padualaan;1;7;8;0,215071676;76,82203923;0,523809524;165,0952381;0,000151186;0,054007321;;0,625;604,5;0;2275,5;4,5;359
Heidelberglaan;1;7;8;0,262030322;104,3645241;0,142857143;224,2857143;0,000184196;0,0733702;;0,5;361,8125;0;1265,5;3,5;250,5
UMC;1;7;8;0;383,7113511;0;824,6190476;0;0,269756212;;0,375;161,0625;0;549;2,5;161
WKZ;1;7;8;0;383,7113511;0;824,6190476;0;0,269756212;;0;40,25;0;133,5;0;73,5
P+R Uithof;1;7;8;0;383,7113511;0;824,6190476;0;0,269756212;;0;0,9375;0;3,5;0;0,5
Centraal Station Centrumzijde;1;8;9;1322,536745;0;2689,095238;0;0,929686214;0;;1249,625;0;4061,5;0;1066;0
Vaartscherijn;1;8;9;81,7349301;103,6377751;166,1904762;382,2857143;0,057456126;0,072859282;;146,0625;108,4375;478;147;161;147,5
Galgenwaard;1;8;9;13,27899871;28,28479886;27;104,3333333;0,009334563;0,019884739;;22,4375;80,5;90;152,5;13;114
Kromme Rijn;1;8;9;3,255345365;23,14680255;6,619047619;85,38095238;0,002288367;0,016272632;;2,9375;64,9375;12,5;116;2;146,5
Padualaan;1;8;9;0,721865826;204,4225421;2,047619048;754,047619;0,000507441;0,143712847;;0,625;604,5;0;2275,5;4,5;359
Heidelberglaan;1;8;9;0,749431958;228,7699318;1,523809524;843,8571429;0,000526818;0,160829514;;0,5;361,8125;0;1265,5;3,5;250,5
UMC;1;8;9;0;278,0585499;0;1025,666667;0;0,195480329;;0,375;161,0625;0;549;2,5;161
WKZ;1;8;9;0;278,0585499;0;1025,666667;0;0,195480329;;0;40,25;0;133,5;0;73,5
P+R Uithof;1;8;9;0;278,0585499;0;1025,666667;0;0,195480329;;0;0,9375;0;3,5;0;0,5
Centraal Station Centrumzijde;1;9;10;1343,086608;0;1142,714286;0;0,94413188;0;;1249,625;0;4061,5;0;1066;0
Vaartscherijn;1;9;10;60,44645314;135,3516443;51,42857143;238,0952381;0,042491246;0,095154722;;146,0625;108,4375;478;147;161;147,5
Galgenwaard;1;9;10;14,04820343;29,29009575;11,95238095;51,52380952;0,00987528;0,020591482;;22,4375;80,5;90;152,5;13;114
Kromme Rijn;1;9;10;3,190229416;17,13551823;2,714285714;30,14285714;0,002242594;0,012046588;;2,9375;64,9375;12,5;116;2;146,5
Padualaan;1;9;10;0,552816465;193,6611326;0,952380952;340,6666667;0,000388606;0,136147376;;0,625;604,5;0;2275,5;4,5;359
Heidelberglaan;1;9;10;0,67162732;194,2837503;0,571428571;341,7619048;0,000472125;0,136585087;;0,5;361,8125;0;1265,5;3,5;250,5
UMC;1;9;10;0;284,238453;0;500;0;0,199824915;;0,375;161,0625;0;549;2,5;161
WKZ;1;9;10;0;284,238453;0;500;0;0,199824915;;0;40,25;0;133,5;0;73,5
P+R Uithof;1;9;10;0;284,238453;0;500;0;0,199824915;;0;0,9375;0;3,5;0;0,5
Centraal Station Centrumzijde;1;10;11;1309,827527;0;1240,428571;0;0,920752183;0;;1249,625;0;4061,5;0;1066;0
Vaartscherijn;1;10;11;79,44748332;101,1732087;75,23809524;166,6666667;0,05584815;0,071126646;;146,0625;108,4375;478;147;161;147,5
Galgenwaard;1;10;11;21,6217835;15,98536699;20,47619048;26,33333333;0,01519918;0,01123801;;22,4375;80,5;90;152,5;13;114
Kromme Rijn;1;10;11;8,44758056;38,5614458;8;63,52380952;0,005938284;0,027109413;;2,9375;64,9375;12,5;116;2;146,5
Padualaan;1;10;11;1,555582905;266,8949243;2,047619048;439,6666667;0,001093508;0,187632092;;0,625;604,5;0;2275,5;4,5;359
Heidelberglaan;1;10;11;1,055947517;295,3101426;1;486,4761905;0,000742286;0,207608519;;0,5;361,8125;0;1265,5;3,5;250,5
UMC;1;10;11;0;234,8374706;0;386,8571429;0;0,165095107;;0,375;161,0625;0;549;2,5;161
