Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1249;3-9-2015;16:24;0;7;0;0;3;4;0,00;0,00;0,00
R1251;3-9-2015;16:28;0;9;1;4;3;10;1,33;1,33;1,33
R1253;3-9-2015;16:32;0;4;0;2;2;7;0,67;0,67;0,67
R1255;3-9-2015;16:37;0;1;0;0;0;1;0,33;0,33;0,33
R1257;3-9-2015;16:41;0;14;3;3;6;9;1,67;1,67;1,67
R1259;3-9-2015;16:45;0;0;0;0;1;6;1,00;1,00;1,00
R1261;3-9-2015;16:50;0;1;0;0;0;0;0,00;0,00;0,00
R1263;3-9-2015;16:54;0;6;3;2;9;10;0,33;0,33;0,33
R1265;3-9-2015;16:58;0;2;1;0;2;9;1,33;1,33;1,33
R1267;3-9-2015;17:03;0;4;1;0;4;1;0,33;0,33;0,33
R1269;3-9-2015;17:07;0;2;1;0;5;4;0,67;0,67;0,67
R1271;3-9-2015;17:11;0;0;0;0;2;4;0,33;0,33;0,33
R1275;3-9-2015;17:20;0;10;4;1;1;14;0,33;0,33;0,33
R1277;3-9-2015;17:24;0;0;0;0;0;0;0,00;0,00;0,00
R1279;3-9-2015;17:29;0;0;0;0;0;0;0,00;0,00;0,00
R1283;3-9-2015;17:37;0;4;3;2;4;8;0,00;0,00;0,00
R1285;3-9-2015;17:42;0;0;0;0;0;2;0,00;0,00;0,00
R1287;3-9-2015;17:46;0;10;0;0;0;7;0,00;0,00;0,00
R1289;3-9-2015;17:51;0;1;1;0;1;5;0,00;0,00;0,00
R1291;3-9-2015;17:56;0;4;1;0;0;1;0,67;0,67;0,67
R1293;3-9-2015;18:01;0;8;0;7;4;16;0,67;0,67;0,67
R1295;3-9-2015;18:10;0;1;0;1;0;1;0,00;0,00;0,00
R1297;3-9-2015;18:24;0;12;2;2;5;5;0,33;0,33;0,33
R1299;3-9-2015;18:39;0;14;5;1;3;9;0,67;0,67;0,67
R1301;3-9-2015;18:50;0;7;3;0;0;8;0,00;0,00;0,00
R1303;3-9-2015;19:09;0;18;4;1;1;13;1,00;1,00;1,00
R1305;3-9-2015;19:24;0;7;3;0;0;1;0,00;0,00;0,00
R1307;3-9-2015;19:37;0;12;5;1;0;2;0,33;0,33;0,33
R1309;3-9-2015;19:52;0;15;3;0;1;4;0,00;0,00;0,00
R1311;3-9-2015;20:07;0;5;2;1;0;4;0,00;0,00;0,00
R1313;3-9-2015;20:22;0;7;1;2;0;5;0,00;0,00;0,00
R1315;3-9-2015;20:37;0;7;2;3;0;1;0,00;0,00;0,00
R1317;3-9-2015;20:52;0;2;5;0;0;6;0,00;0,00;0,00
