Trip;Date;Departure;CS Centrumzijde;Bleekstraat;Sterrenwijk;Rubenslaan;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
R1073;4-9-2015;9:33;115;2;4;4;3;1;0;0;0
R1079;4-9-2015;9:48;10;66;1;2;0;0;0;0;0
R1081;4-9-2015;9:52;81;4;0;2;2;1;0;0;0
R1083;4-9-2015;9:57;0;0;0;0;0;0;0;0;0
R1085;4-9-2015;10:02;50;0;2;3;0;0;0;0;0
R1087;4-9-2015;10:07;26;2;0;1;1;0;1;0;0
R1091;4-9-2015;10:16;209;2;1;1;0;2;0;0;0
R1093;4-9-2015;10:21;134;1;0;1;0;0;1;0;0
R1095;4-9-2015;10:26;114;0;0;0;0;0;0;0;0
R1099;4-9-2015;10:35;205;0;0;0;0;0;0;0;0
R1107;4-9-2015;10:54;103;0;0;0;0;0;0;0;0
R1111;4-9-2015;11:04;16;0;0;2;7;3;0;0;0
R1113;4-9-2015;11:09;18;0;2;0;0;1;1;0;0
R1115;4-9-2015;11:14;26;1;1;1;5;0;0;0;0
R1117;4-9-2015;11:18;0;0;0;0;0;0;0;0;0
R1119;4-9-2015;11:23;41;1;0;0;0;0;0;0;0
R1121;4-9-2015;11:28;18;0;0;0;0;0;0;0;0
R1123;4-9-2015;11:33;2;0;0;0;0;0;0;0;0
R1125;4-9-2015;11:37;0;0;0;0;0;0;0;0;0
R1127;4-9-2015;11:42;57;4;1;7;3;0;0;0;0
R1129;4-9-2015;11:47;103;6;0;1;0;0;1;0;0
R1131;4-9-2015;11:52;12;0;0;1;0;1;0;0;0
R1133;4-9-2015;11:57;31;0;0;0;0;0;0;0;0
R1135;4-9-2015;12:01;82;2;2;0;0;0;0;0;0
R1137;4-9-2015;12:06;63;1;0;0;0;0;0;0;0
R1139;4-9-2015;12:11;46;1;0;0;0;0;0;0;0
R1141;4-9-2015;12:16;29;1;0;0;0;2;0;0;0
R1143;4-9-2015;12:20;0;0;0;4;4;0;0;1;0
R1145;4-9-2015;12:25;55;1;0;0;0;0;0;0;0
R1147;4-9-2015;12:30;11;3;0;0;0;0;0;0;0
R1149;4-9-2015;12:35;48;2;2;5;3;2;0;0;0
R1151;4-9-2015;12:40;51;2;0;0;0;0;0;0;0
R1153;4-9-2015;12:44;126;5;2;4;4;0;0;0;0
R1155;4-9-2015;12:49;58;1;1;0;3;1;0;0;0
R1157;4-9-2015;12:54;0;0;0;1;0;1;0;0;0
R1159;4-9-2015;12:59;17;0;0;0;0;2;1;1;0
R1161;4-9-2015;13:03;1;0;0;1;0;0;0;0;0
R1163;4-9-2015;13:08;99;1;0;1;1;2;0;1;0
R1165;4-9-2015;13:13;92;4;1;2;3;0;0;0;0
R1167;4-9-2015;13:18;34;1;0;1;0;0;0;0;0
R1169;4-9-2015;13:23;65;1;0;2;0;1;2;0;0
R1171;4-9-2015;13:27;49;1;0;4;0;0;0;0;0
R1173;4-9-2015;13:32;8;0;0;0;0;0;0;0;0
R1175;4-9-2015;13:37;24;1;0;0;1;0;0;0;0
R1177;4-9-2015;13:42;13;0;0;0;0;0;0;0;0
R1179;4-9-2015;13:46;0;0;0;1;9;2;2;0;0
R1181;4-9-2015;13:51;36;0;0;0;0;0;0;0;0
R1185;4-9-2015;14:01;77;2;1;1;4;0;0;0;0
R1189;4-9-2015;14:10;13;0;1;3;0;0;0;0;0
R1191;4-9-2015;14:15;39;2;1;2;0;0;0;0;0
R1193;4-9-2015;14:20;5;0;1;1;0;0;0;0;0
R1197;4-9-2015;14:29;0;0;0;0;0;0;0;0;0
R1199;4-9-2015;14:34;0;0;0;0;0;0;0;0;0
R1201;4-9-2015;14:39;19;2;0;1;1;1;0;0;0
R1203;4-9-2015;14:42;5;0;0;0;0;0;1;0;0
R1205;4-9-2015;14:48;71;1;0;3;3;0;0;1;0
R1211;4-9-2015;15:01;45;0;0;3;1;3;2;0;0
R1213;4-9-2015;15:06;12;2;0;1;1;0;0;0;0
R1215;4-9-2015;15:10;5;0;0;0;0;0;0;0;0
R1217;4-9-2015;15:14;0;1;2;0;0;0;0;0;0
R1219;4-9-2015;15:19;7;0;0;0;0;0;0;0;0
R1221;4-9-2015;15:23;16;1;0;0;0;0;0;0;0
R1223;4-9-2015;15:27;17;0;0;0;1;0;0;0;0
R1225;4-9-2015;15:32;32;0;1;2;0;0;0;0;0
R1227;4-9-2015;15:36;0;1;0;1;0;0;0;0;0
R1229;4-9-2015;15:40;30;1;1;3;2;0;0;0;0
R1231;4-9-2015;15:45;18;0;0;0;2;0;0;0;0
R1233;4-9-2015;15:49;5;2;0;0;0;0;0;0;0
R1235;4-9-2015;15:53;0;0;0;0;0;0;0;0;0
